type,duration,newType,newArtifact
WriteTestCases,387190,true,true
WriteFunction,721065,true,true
WriteTestCases,680027,true,true
WriteFunction,591733,true,true
WriteTestCases,414091,false,true
WriteFunction,530465,true,true
WriteTestCases,540338,false,true
WriteFunction,224976,false,true
Review,603092,true,true
Review,104346,true,false
Review,861664,false,true
WriteTestCases,147162,false,false
WriteTestCases,449518,false,true
Review,434303,true,true
Review,524089,true,true
Review,110170,false,false
Review,107450,false,false
WriteFunction,655200,false,false
WriteTest,676314,true,true
WriteTest,237668,true,true
WriteTest,302622,true,true
WriteTest,227552,false,true
WriteTest,524756,true,true
WriteTest,483714,false,true
WriteTest,295047,true,true
WriteTest,1184528,false,true
WriteTest,523891,false,true
WriteTest,104453,false,true
WriteFunction,493249,false,false
Review,257520,true,false
Review,86595,false,false
Review,249752,false,false
WriteFunction,630553,false,true
WriteFunction,387123,true,false
Review,325271,false,true
WriteTest,35255,false,true
WriteTest,35717,false,true
WriteTest,193264,false,true
WriteTest,607783,false,true
WriteTest,89849,false,true
WriteTest,234689,false,true
WriteTest,105056,false,true
WriteTest,78680,false,true
WriteTest,133826,false,true
WriteTest,231586,false,true
WriteTest,25390,false,true
WriteTest,110694,true,true
WriteTest,79147,false,true
WriteTest,40511,false,true
WriteTest,64756,false,true
WriteTest,165154,false,true
WriteTest,286144,false,true
WriteTest,92383,false,true
Review,487954,true,true
Review,52698,false,true
Review,476690,false,true
WriteTest,761281,false,true
Review,351845,false,true
Review,423799,false,true
Review,334526,false,true
Review,306037,false,true
WriteTest,205990,false,true
WriteFunction,775878,false,false
WriteTest,47295,false,true
WriteTest,127946,false,true
Review,82078,false,true
Review,215494,false,true
WriteTest,479122,false,true
Review,67293,false,true
Review,284550,false,true
Review,894441,false,true
Review,158680,false,true
Review,340270,false,true
Review,85033,false,false
Review,326019,false,true
WriteTest,104549,false,false
WriteFunction,424163,false,false
Review,114039,false,true
Review,477725,false,true
Review,20549,false,true
Review,222407,false,true
ReuseSearch,47951,true,false
ReuseSearch,11062,false,false
Review,118411,false,true
Review,118489,false,true
Review,142429,false,true
Review,118666,false,true
Review,134420,false,true
Review,73349,false,true
WriteTestCases,525965,false,false
Review,198725,false,true
WriteTestCases,218837,false,false
Review,105450,false,true
Review,57404,false,true
Review,218003,false,true
Review,172462,false,true
Review,180572,false,true
WriteTestCases,556248,true,true
WriteTest,297392,false,true
WriteTest,440123,false,true
Review,216677,false,true
Review,209404,false,true
Review,171413,false,true
Review,230081,false,false
WriteFunctionDescription,155707,true,true
WriteFunctionDescription,335530,true,true
Review,120371,false,true
Review,96984,false,false
ReuseSearch,114077,true,false
WriteFunctionDescription,227558,true,true
Review,292158,false,true
WriteTestCases,257463,true,false
Review,166396,false,true
Review,67145,false,true
Review,281492,false,true
WriteTest,52575,false,false
WriteTestCases,314680,false,true
WriteFunction,411819,false,false
WriteCall,66801,true,false
Review,162143,false,false
Review,87869,false,false
Review,134234,false,false
Review,486954,false,false
Review,75189,false,true
WriteTestCases,216045,false,false
WriteTestCases,568701,false,false
WriteTestCases,484988,false,true
WriteFunction,542188,false,false
WriteCall,97319,true,false
WriteTestCases,586375,true,false
WriteFunction,493863,false,true
WriteCall,363827,true,false
Review,33362,false,false
Review,50785,false,false
WriteFunction,381644,false,false
WriteTest,54212,false,true
WriteTest,31134,false,true
WriteTest,18394,false,true
WriteTest,13018,false,true
WriteTest,10445,false,true
WriteTest,10109,false,true
WriteTest,405285,false,false
WriteTest,86122,false,true
WriteTest,348060,false,true
WriteTest,176764,false,true
WriteTest,480350,false,true
Review,180178,false,true
Review,253637,false,false
Review,17481,false,true
Review,188183,false,true
WriteFunction,258638,false,false
Review,99098,false,true
Review,18193,false,true
Review,16078,false,true
Review,12333,false,true
WriteFunction,454201,false,false
Review,14890,false,true
Review,173703,false,true
WriteTest,100903,false,false
WriteTest,137582,false,true
WriteTest,174252,false,true
WriteTest,85998,false,true
WriteTest,155116,false,true
WriteTest,61913,false,true
WriteTest,279494,false,true
WriteTest,139461,false,true
WriteTest,499381,false,true
WriteTest,229497,false,true
WriteTest,203436,false,true
WriteTest,193816,false,true
WriteTest,89599,false,true
Review,215988,false,true
Review,341583,false,true
Review,128246,false,true
Review,187592,false,true
WriteFunction,83616,false,false
WriteFunction,175022,false,false
WriteTestCases,280765,false,false
WriteTestCases,265336,false,true
Review,294816,false,true
Review,23829,false,true
Review,401032,false,true
Review,319726,false,true
WriteTest,27152,false,false
Review,129513,false,true
Review,383386,false,false
WriteTest,69043,false,true
Review,171745,false,true
WriteFunction,101959,false,true
Review,269127,false,false
Review,62895,false,false
Review,264318,false,true
WriteFunction,313163,false,false
WriteTest,79188,false,true
WriteTest,84954,false,false
WriteTest,98023,false,true
WriteTest,40418,false,false
WriteTest,191888,false,false
WriteTest,20922,false,false
WriteTest,92207,false,true
WriteTest,169437,false,true
WriteTest,317963,false,true
WriteTest,153998,false,true
ReuseSearch,61684,true,false
Review,104333,false,true
Review,104308,false,true
Review,105284,false,true
WriteTest,73540,false,true
Review,212525,false,false
Review,413535,false,true
WriteTest,142019,false,true
WriteTestCases,179515,false,false
Review,293384,false,true
WriteTestCases,202768,false,false
Review,59473,false,true
Review,30361,false,true
Review,70209,false,true
WriteTest,190052,false,true
WriteTest,342198,false,true
WriteTest,151563,false,true
Review,76656,false,true
Review,353224,false,true
WriteTestCases,385930,false,false
Review,431932,false,false
Review,61606,false,false
Review,98934,false,true
Review,181179,false,false
WriteTest,265811,false,false
Review,106017,false,false
WriteTest,80809,false,true
Review,132333,false,false
WriteFunction,280150,false,true
WriteFunction,155958,false,false
WriteTest,73323,false,true
Review,89745,false,true
Review,123164,false,true
WriteTest,212315,false,true
WriteTest,92528,false,true
WriteTest,194262,false,true
WriteTest,225456,false,true
WriteTest,47850,false,true
WriteTest,51927,false,true
WriteFunction,183052,false,false
Review,65438,false,true
Review,136920,false,true
Review,37052,false,false
Review,48763,false,false
ReuseSearch,24221,false,false
WriteTest,200089,false,true
WriteTest,105084,false,true
Review,85839,false,false
Review,146142,false,true
Review,159574,false,true
WriteFunctionDescription,111564,false,true
Review,196505,false,true
Review,49097,false,true
Review,59941,false,false
Review,403499,false,true
WriteTestCases,20384,false,false
Review,356680,false,true
WriteTest,37390,false,true
Review,65927,false,true
Review,120047,false,false
Review,90877,false,false
WriteTest,68459,false,true
Review,95932,false,true
WriteTest,250594,false,true
WriteTest,52354,false,false
WriteTestCases,386973,false,true
Review,252649,false,false
Review,36007,false,false
WriteTestCases,204695,true,false
Review,130390,false,false
WriteTestCases,99685,false,false
Review,87181,false,false
Review,430484,false,false
Review,59210,false,true
WriteTest,58913,false,false
WriteTest,69669,false,true
Review,79965,false,true
Review,48405,false,false
DebugTestFailure,650922,true,false
Review,322575,false,true
WriteFunctionDescription,443815,true,true
Review,85821,false,true
Review,354015,false,true
Review,114374,false,true
Review,40391,false,false
