type,duration,newType,newArtifact
WriteTestCases,09:28,true,true
WriteTestCases,08:12,true,true
WriteFunction,05:55,true,true
WriteTestCases,05:34,false,true
WriteFunction,15:03,true,true
Review,02:03,true,false
Review,02:16,true,false
Review,06:50,true,true
Review,05:58,true,true
Review,01:34,false,true
Review,03:05,false,true
WriteTestCases,06:00,true,true
WriteTest,02:49,true,true
WriteFunction,04:30,false,false
WriteTest,04:15,true,true
WriteTestCases,09:07,true,true
WriteTest,02:00,false,true
WriteFunction,10:01,false,true
Review,02:26,false,false
WriteTest,00:47,true,true
Review,02:22,false,true
Review,03:26,false,true
Review,02:07,false,true
Review,04:12,false,true
Review,02:15,false,true
Review,04:42,true,true
Review,05:14,true,true
WriteFunction,02:16,false,false
WriteTest,00:43,false,false
Review,01:55,false,true
WriteTestCases,02:28,false,false
WriteTest,03:14,true,true
Review,04:49,false,false
Review,02:33,false,false
Review,02:35,false,true
WriteTest,01:10,false,true
WriteTest,02:22,true,true
WriteTest,05:57,true,false
WriteFunction,11:06,true,false
WriteTest,02:21,false,true
WriteTestCases,05:22,true,true
Review,02:06,false,true
Review,01:07,true,true
Review,02:55,false,true
Review,02:28,false,true
Review,01:46,false,false
WriteTest,01:28,false,false
WriteTestCases,01:05,false,false
WriteFunction,09:37,true,true
WriteTest,02:45,false,true
WriteFunction,08:02,false,false
Review,01:18,false,false
Review,01:54,false,false
Review,03:31,false,true
WriteTest,05:38,false,true
Review,08:33,false,true
ReuseSearch,01:32,true,false
WriteTest,01:11,false,true
Review,05:55,false,false
WriteTest,03:20,true,true
Review,03:13,false,true
WriteFunction,01:51,false,false
Review,00:30,false,false
WriteFunction,08:37,true,true
WriteTest,01:40,false,true
WriteTest,00:55,false,true
Review,00:22,false,true
WriteTest,00:34,false,true
WriteTest,01:37,false,true
Review,03:16,false,false
WriteTestCases,07:58,true,true
Review,01:09,false,true
WriteTestCases,09:01,true,true
Review,06:59,false,true
Review,02:14,false,false
WriteFunction,05:46,false,false
Review,02:32,false,true
Review,06:15,true,true
Review,08:29,false,false
WriteTest,01:46,false,true
Review,03:17,false,false
Review,01:41,false,true
WriteTest,04:38,false,false
Review,04:57,false,false
WriteTest,00:34,false,true
WriteFunction,06:26,true,true
WriteTest,02:55,true,true
WriteTest,01:47,false,true
Review,00:46,false,true
Review,00:44,false,true
Review,02:04,false,true
Review,00:44,false,true
WriteTest,05:39,true,true
Review,02:08,false,false
WriteFunction,00:36,false,false
WriteTest,03:22,false,true
WriteTest,00:41,false,false
Review,01:02,false,true
WriteTest,03:44,false,true
Review,00:51,false,true
Review,00:42,true,true
Review,02:00,false,false
Review,04:50,false,true
WriteTest,00:57,false,false
Review,01:54,false,false
WriteFunction,02:51,false,false
WriteTest,00:34,false,true
Review,00:37,false,true
WriteTest,03:42,false,false
Review,00:20,false,false
WriteFunction,01:31,false,false
Review,02:36,false,false
WriteTestCases,02:03,false,false
Review,01:58,false,true
Review,00:46,false,false
ReuseSearch,06:16,true,true
Review,03:15,false,false
Review,00:59,false,true
Review,01:03,false,false
WriteTest,02:57,false,true
WriteTest,07:10,false,true
Review,00:40,false,true
Review,00:55,false,false
WriteTest,06:18,false,false
WriteTestCases,01:11,false,false
ReuseSearch,03:07,true,false
WriteFunction,04:32,false,false
Review,01:42,false,false
Review,02:04,false,false
Review,00:43,false,false
WriteTest,02:39,false,true
WriteTest,01:25,false,true
Review,03:44,false,false
Review,02:19,false,false
WriteFunction,09:03,false,false
Review,00:55,false,true
Review,01:50,false,false
ReuseSearch,01:32,true,true
ReuseSearch,01:37,true,false
WriteTestCases,08:03,true,false
WriteCall,02:28,true,false
Review,01:17,false,false
WriteTest,02:10,false,false
Review,02:47,false,false
DebugTestFailure,13:36,true,false
WriteTest,00:36,false,true
ReuseSearch,04:29,false,true
WriteTest,00:49,false,true
Review,01:51,false,false
WriteFunctionDescription,03:05,true,true
Review,02:56,false,false
Review,01:05,false,true
WriteTest,01:01,false,true
Review,02:12,false,false
Review,01:35,false,true
WriteTest,01:31,false,false
Review,03:53,false,false
Review,03:23,false,true
Review,04:24,false,true
Review,00:28,false,false
Review,01:19,false,true
ReuseSearch,00:26,false,false
WriteTest,01:23,false,true
WriteTestCases,01:19,false,false
WriteFunctionDescription,00:38,false,true
Review,00:25,false,false
WriteFunctionDescription,08:59,true,true
WriteTest,01:40,false,false
WriteFunction,05:27,false,false
Review,01:02,false,false
WriteTestCases,01:29,false,false
Review,01:25,false,true
Review,02:38,false,true
Review,00:55,false,false
Review,02:31,false,true
WriteCall,05:03,false,false
WriteTest,01:49,false,true
Review,02:38,false,true
Review,01:16,false,false
WriteTestCases,01:42,false,false
DebugTestFailure,08:18,true,false
Review,03:10,false,true
WriteTest,03:54,false,true
ReuseSearch,00:38,false,false
Review,00:28,false,false
WriteTest,05:10,false,true
Review,00:30,false,true
Review,01:25,false,true
WriteFunctionDescription,06:06,true,false
WriteFunctionDescription,02:21,true,true
WriteTest,01:07,false,true
Review,03:13,false,false
Review,01:19,false,true
WriteCall,08:22,true,false
WriteTest,03:56,false,true
Review,01:58,false,true
Review,01:54,false,true
WriteFunctionDescription,02:23,false,true
Review,02:09,false,false
WriteFunctionDescription,08:49,true,true
WriteTest,01:44,false,false
Review,01:40,false,false
ReuseSearch,02:11,false,false
Review,00:47,false,true
Review,03:00,false,true
WriteFunctionDescription,01:15,false,true
Review,00:48,false,false
Review,07:34,false,true
WriteFunctionDescription,01:55,false,false
WriteTest,06:10,false,true
WriteCall,01:10,false,false
WriteFunctionDescription,03:44,true,true
Review,01:03,false,true
Review,01:03,false,false
Review,01:00,false,true
WriteTest,01:12,false,false
Review,03:19,false,false
Review,00:51,false,false
WriteFunctionDescription,04:13,false,true
WriteFunction,02:22,false,false
WriteFunctionDescription,01:51,false,true
Review,00:48,false,false
WriteFunctionDescription,02:05,true,false
Review,00:16,false,true
WriteCall,00:55,true,false
Review,02:10,false,true
Review,00:31,false,false
WriteTest,03:45,false,true
WriteFunction,01:50,false,false
DebugTestFailure,07:42,true,false
WriteFunction,02:24,false,false
Review,01:16,false,false
WriteTestCases,07:47,false,false
Review,00:57,false,false
Review,01:11,false,false
Review,00:41,false,false
Review,00:58,false,true
WriteFunction,03:39,false,true
WriteTest,00:30,false,true
WriteTest,00:28,false,true
WriteTestCases,03:41,true,true
WriteTest,00:51,false,true
Review,00:19,false,true
Review,00:15,false,true
Review,00:48,false,true
WriteTest,00:21,false,true
WriteTest,00:11,false,true
WriteTest,00:16,false,true
WriteTest,00:32,false,true
WriteTest,01:23,false,true
Review,00:25,false,true
Review,01:26,false,true
Review,00:43,false,true
Review,01:26,false,true
Review,00:28,false,true
Review,00:10,false,true
WriteTest,00:13,false,true
Review,00:50,false,true
WriteTest,00:23,false,true
WriteTest,00:21,false,true
WriteTest,00:34,false,true
WriteTest,00:37,false,true
Review,00:14,false,true
WriteTest,00:16,false,true
Review,00:21,false,true
Review,00:23,false,true
WriteTest,00:59,false,true
Review,00:33,false,true
Review,00:50,false,true
Review,10:16,false,true
Review,00:58,false,true
Review,00:39,false,true
DebugTestFailure,04:44,false,false
WriteTest,02:06,false,true
WriteFunction,01:42,false,false
WriteFunction,01:42,false,false
WriteTest,01:00,false,true
WriteTest,02:10,false,true
Review,00:22,false,true
WriteTestCases,01:45,false,true
Review,01:05,false,true
Review,01:03,false,false
Review,00:34,false,true
WriteTest,00:14,false,true
WriteTest,00:31,false,true
Review,00:11,false,false
Review,01:02,false,false
Review,02:38,false,false
Review,01:53,false,true
WriteFunction,01:00,false,false
WriteFunctionDescription,01:45,false,true
Review,00:38,false,false
Review,00:47,false,true
Review,00:59,false,false
WriteTest,00:11,false,true
WriteFunction,01:31,false,false
WriteTest,00:13,false,true
Review,00:15,false,true
Review,00:12,false,false
WriteTestCases,02:03,false,true
Review,00:39,false,false
WriteTest,03:01,false,true
WriteFunction,00:31,false,false
WriteTest,07:33,false,true
Review,00:11,false,false
Review,01:45,false,false
Review,04:19,false,false
